Service,Log_Level,Message,Timestamp,Status_Code,Response_Time(ms)
private cloud,CRITICAL,Sample log message 1,2024-12-01 00:00:00,404,1208.2070778442978
private cloud,WARN,Sample log message 2,2024-12-01 00:30:00,500,71.17796601035366
vpn,INFO,Sample log message 3,2024-12-01 01:00:00,200,117.33390564786055
vpn,CRITICAL,Sample log message 4,2024-12-01 01:30:00,400,147.81080996626565
vpn,DEBUG,Sample log message 5,2024-12-01 02:00:00,404,1487.1421590412913
ansible,INFO,Sample log message 6,2024-12-01 02:30:00,500,1142.7319388431335
network,WARN,Sample log message 7,2024-12-01 03:00:00,400,694.9341611038753
network,WARN,Sample log message 8,2024-12-01 03:30:00,400,1030.654432726902
openshift,INFO,Sample log message 9,2024-12-01 04:00:00,500,1969.3772329640412
ansible,ERROR,Sample log message 10,2024-12-01 04:30:00,404,1300.4918687596319
kubernetes,INFO,Sample log message 11,2024-12-01 05:00:00,200,606.4954794055369
private cloud,ERROR,Sample log message 12,2024-12-01 05:30:00,500,549.5659227050069
vpn,CRITICAL,Sample log message 13,2024-12-01 06:00:00,400,1589.8903023177554
openshift,DEBUG,Sample log message 14,2024-12-01 06:30:00,400,1958.3207080542397
network,WARN,Sample log message 15,2024-12-01 07:00:00,200,1694.3435687926667
dns,CRITICAL,Sample log message 16,2024-12-01 07:30:00,400,1693.3329399468926
openshift,WARN,Sample log message 17,2024-12-01 08:00:00,200,1355.1921765030072
dns,DEBUG,Sample log message 18,2024-12-01 08:30:00,500,240.30791164902843
network,WARN,Sample log message 19,2024-12-01 09:00:00,400,1749.1968368815128
private cloud,ERROR,Sample log message 20,2024-12-01 09:30:00,200,899.2107630929692
storage,WARN,Sample log message 21,2024-12-01 10:00:00,200,647.9436078896482
vpn,ERROR,Sample log message 22,2024-12-01 10:30:00,404,1804.6126518137237
openshift,WARN,Sample log message 23,2024-12-01 11:00:00,200,488.71679079846825
network,ERROR,Sample log message 24,2024-12-01 11:30:00,400,297.51065920156896
kubernetes,ERROR,Sample log message 25,2024-12-01 12:00:00,400,1074.3531509614304
storage,INFO,Sample log message 26,2024-12-01 12:30:00,404,514.4532563369385
docker,INFO,Sample log message 27,2024-12-01 13:00:00,200,1073.9125563544167
dns,INFO,Sample log message 28,2024-12-01 13:30:00,404,1329.7594412266526
vpn,WARN,Sample log message 29,2024-12-01 14:00:00,200,706.6573287134852
vpn,ERROR,Sample log message 30,2024-12-01 14:30:00,404,322.73739473882966
storage,DEBUG,Sample log message 31,2024-12-01 15:00:00,404,1205.0923022731106
dns,CRITICAL,Sample log message 32,2024-12-01 15:30:00,200,228.11635071634876
openshift,WARN,Sample log message 33,2024-12-01 16:00:00,200,892.2328906411476
openshift,DEBUG,Sample log message 34,2024-12-01 16:30:00,404,602.1292542193211
storage,CRITICAL,Sample log message 35,2024-12-01 17:00:00,400,1535.4069507483066
dns,DEBUG,Sample log message 36,2024-12-01 17:30:00,400,178.39306681669203
ansible,ERROR,Sample log message 37,2024-12-01 18:00:00,400,1461.4836348279568
network,INFO,Sample log message 38,2024-12-01 18:30:00,200,700.3020713570576
storage,DEBUG,Sample log message 39,2024-12-01 19:00:00,400,280.4356940608716
kubernetes,DEBUG,Sample log message 40,2024-12-01 19:30:00,500,1099.8636383301805
network,CRITICAL,Sample log message 41,2024-12-01 20:00:00,500,566.9210523370999
ansible,ERROR,Sample log message 42,2024-12-01 20:30:00,200,1076.838041400051
dns,INFO,Sample log message 43,2024-12-01 21:00:00,500,732.980724586988
docker,CRITICAL,Sample log message 44,2024-12-01 21:30:00,200,755.5067476000803
dns,CRITICAL,Sample log message 45,2024-12-01 22:00:00,404,1444.2368309788483
openshift,WARN,Sample log message 46,2024-12-01 22:30:00,200,1122.1244304605063
network,CRITICAL,Sample log message 47,2024-12-01 23:00:00,500,1735.0269111764428
dns,WARN,Sample log message 48,2024-12-01 23:30:00,500,1587.2311511611501
vpn,DEBUG,Sample log message 49,2024-12-02 00:00:00,200,517.1622424134464
vpn,CRITICAL,Sample log message 50,2024-12-02 00:30:00,500,138.30460098057938
vpn,ERROR,Sample log message 51,2024-12-02 01:00:00,500,517.5081666917736
kubernetes,WARN,Sample log message 52,2024-12-02 01:30:00,404,660.4679714507487
dns,ERROR,Sample log message 53,2024-12-02 02:00:00,404,1592.8521514206766
dns,WARN,Sample log message 54,2024-12-02 02:30:00,500,187.19084129297602
ansible,INFO,Sample log message 55,2024-12-02 03:00:00,404,1198.1515398325412
vpn,INFO,Sample log message 56,2024-12-02 03:30:00,400,703.1615158587932
docker,ERROR,Sample log message 57,2024-12-02 04:00:00,400,1682.4535845858757
openshift,DEBUG,Sample log message 58,2024-12-02 04:30:00,404,464.39544972978126
vpn,ERROR,Sample log message 59,2024-12-02 05:00:00,400,365.137268202627
openshift,DEBUG,Sample log message 60,2024-12-02 05:30:00,200,1454.0734657252904
docker,CRITICAL,Sample log message 61,2024-12-02 06:00:00,500,1706.6353678728658
network,ERROR,Sample log message 62,2024-12-02 06:30:00,200,121.6612153626737
vpn,ERROR,Sample log message 63,2024-12-02 07:00:00,400,1907.0206693496555
private cloud,DEBUG,Sample log message 64,2024-12-02 07:30:00,200,1428.3200291097387
private cloud,WARN,Sample log message 65,2024-12-02 08:00:00,400,469.46657492913386
private cloud,ERROR,Sample log message 66,2024-12-02 08:30:00,500,1503.6959119587902
kubernetes,INFO,Sample log message 67,2024-12-02 09:00:00,404,604.5326368992422
dns,WARN,Sample log message 68,2024-12-02 09:30:00,200,752.4761448248471
storage,DEBUG,Sample log message 69,2024-12-02 10:00:00,400,1415.8659803721837
docker,INFO,Sample log message 70,2024-12-02 10:30:00,500,93.92744519026002
kubernetes,ERROR,Sample log message 71,2024-12-02 11:00:00,404,355.332117453145
vpn,CRITICAL,Sample log message 72,2024-12-02 11:30:00,400,1933.2626942516697
storage,WARN,Sample log message 73,2024-12-02 12:00:00,200,1981.6804245355058
openshift,INFO,Sample log message 74,2024-12-02 12:30:00,400,541.6666371555827
private cloud,INFO,Sample log message 75,2024-12-02 13:00:00,404,1786.0076718884511
kubernetes,DEBUG,Sample log message 76,2024-12-02 13:30:00,500,1975.8193080366311
ansible,ERROR,Sample log message 77,2024-12-02 14:00:00,200,783.928402216603
network,ERROR,Sample log message 78,2024-12-02 14:30:00,500,562.8376579196196
private cloud,WARN,Sample log message 79,2024-12-02 15:00:00,500,828.9781011679078
vpn,INFO,Sample log message 80,2024-12-02 15:30:00,400,1216.785286917767
kubernetes,DEBUG,Sample log message 81,2024-12-02 16:00:00,404,1686.3002318877295
private cloud,CRITICAL,Sample log message 82,2024-12-02 16:30:00,404,626.8864292381819
network,INFO,Sample log message 83,2024-12-02 17:00:00,404,1010.283818860708
openshift,ERROR,Sample log message 84,2024-12-02 17:30:00,500,695.8569301359579
dns,CRITICAL,Sample log message 85,2024-12-02 18:00:00,200,145.39097327123602
openshift,WARN,Sample log message 86,2024-12-02 18:30:00,200,196.02493703975827
private cloud,CRITICAL,Sample log message 87,2024-12-02 19:00:00,500,1175.825915805916
ansible,DEBUG,Sample log message 88,2024-12-02 19:30:00,404,1632.610772721281
vpn,CRITICAL,Sample log message 89,2024-12-02 20:00:00,200,848.3807854427389
dns,WARN,Sample log message 90,2024-12-02 20:30:00,500,1709.6713902534907
storage,ERROR,Sample log message 91,2024-12-02 21:00:00,404,599.4049367467486
private cloud,INFO,Sample log message 92,2024-12-02 21:30:00,404,1258.5887309510883
openshift,CRITICAL,Sample log message 93,2024-12-02 22:00:00,404,1074.9438762048408
docker,INFO,Sample log message 94,2024-12-02 22:30:00,200,1595.6157151119978
dns,DEBUG,Sample log message 95,2024-12-02 23:00:00,200,1979.3337400535625
docker,ERROR,Sample log message 96,2024-12-02 23:30:00,200,895.8248735827841
docker,INFO,Sample log message 97,2024-12-03 00:00:00,404,69.25298407254746
docker,ERROR,Sample log message 98,2024-12-03 00:30:00,500,1348.9485229867214
storage,DEBUG,Sample log message 99,2024-12-03 01:00:00,200,1283.662171205691
vpn,DEBUG,Sample log message 100,2024-12-03 01:30:00,400,239.91987309730885
network,DEBUG,Sample log message 101,2024-12-03 02:00:00,404,1820.3149320113966
kubernetes,DEBUG,Sample log message 102,2024-12-03 02:30:00,400,1378.1344802880296
storage,WARN,Sample log message 103,2024-12-03 03:00:00,404,1820.5131355159363
dns,WARN,Sample log message 104,2024-12-03 03:30:00,404,217.29966080278075
docker,WARN,Sample log message 105,2024-12-03 04:00:00,400,1364.2333067568738
openshift,INFO,Sample log message 106,2024-12-03 04:30:00,400,246.3725145824311
vpn,WARN,Sample log message 107,2024-12-03 05:00:00,500,1721.4453788130056
ansible,ERROR,Sample log message 108,2024-12-03 05:30:00,404,1471.9792286580434
docker,DEBUG,Sample log message 109,2024-12-03 06:00:00,200,1379.402839316655
kubernetes,CRITICAL,Sample log message 110,2024-12-03 06:30:00,400,1106.550429614388
ansible,WARN,Sample log message 111,2024-12-03 07:00:00,200,1532.6828930334927
private cloud,INFO,Sample log message 112,2024-12-03 07:30:00,200,1042.1425595130927
private cloud,DEBUG,Sample log message 113,2024-12-03 08:00:00,400,336.4796463778674
openshift,CRITICAL,Sample log message 114,2024-12-03 08:30:00,500,1518.9521535639658
vpn,DEBUG,Sample log message 115,2024-12-03 09:00:00,404,1980.483542654848
openshift,INFO,Sample log message 116,2024-12-03 09:30:00,400,971.397000947375
ansible,WARN,Sample log message 117,2024-12-03 10:00:00,400,627.565963533074
network,ERROR,Sample log message 118,2024-12-03 10:30:00,500,1823.0506836093607
ansible,INFO,Sample log message 119,2024-12-03 11:00:00,404,1424.092168152208
openshift,WARN,Sample log message 120,2024-12-03 11:30:00,404,1448.2920197125434
vpn,INFO,Sample log message 121,2024-12-03 12:00:00,200,1870.2539617592688
private cloud,CRITICAL,Sample log message 122,2024-12-03 12:30:00,404,1028.4880577697213
network,DEBUG,Sample log message 123,2024-12-03 13:00:00,200,641.512803311813
network,WARN,Sample log message 124,2024-12-03 13:30:00,200,1961.5968901756721
kubernetes,CRITICAL,Sample log message 125,2024-12-03 14:00:00,400,1199.0298184441033
dns,DEBUG,Sample log message 126,2024-12-03 14:30:00,400,1056.5130883649413
private cloud,DEBUG,Sample log message 127,2024-12-03 15:00:00,400,1190.3603008749067
private cloud,DEBUG,Sample log message 128,2024-12-03 15:30:00,404,1205.5921297551226
ansible,ERROR,Sample log message 129,2024-12-03 16:00:00,404,1642.2264533606262
ansible,INFO,Sample log message 130,2024-12-03 16:30:00,500,302.45236277535236
kubernetes,DEBUG,Sample log message 131,2024-12-03 17:00:00,404,1621.4845093226074
private cloud,INFO,Sample log message 132,2024-12-03 17:30:00,500,795.0679076432241
ansible,CRITICAL,Sample log message 133,2024-12-03 18:00:00,500,1708.6589390438958
network,ERROR,Sample log message 134,2024-12-03 18:30:00,404,389.82814999377234
kubernetes,INFO,Sample log message 135,2024-12-03 19:00:00,404,922.7625374814801
ansible,CRITICAL,Sample log message 136,2024-12-03 19:30:00,404,392.5041376677451
dns,INFO,Sample log message 137,2024-12-03 20:00:00,404,1576.6857001251028
storage,WARN,Sample log message 138,2024-12-03 20:30:00,400,394.25639429870745
storage,INFO,Sample log message 139,2024-12-03 21:00:00,400,1958.4973547494578
vpn,ERROR,Sample log message 140,2024-12-03 21:30:00,200,1391.9242981274963
kubernetes,DEBUG,Sample log message 141,2024-12-03 22:00:00,200,1531.5262070457773
kubernetes,CRITICAL,Sample log message 142,2024-12-03 22:30:00,500,774.7167999578747
vpn,INFO,Sample log message 143,2024-12-03 23:00:00,200,1499.0377371088925
dns,DEBUG,Sample log message 144,2024-12-03 23:30:00,404,1503.3527324910056
openshift,WARN,Sample log message 145,2024-12-04 00:00:00,400,1433.0893728492042
storage,DEBUG,Sample log message 146,2024-12-04 00:30:00,400,514.3390172170829
private cloud,CRITICAL,Sample log message 147,2024-12-04 01:00:00,500,1471.3470444402615
ansible,DEBUG,Sample log message 148,2024-12-04 01:30:00,404,1488.9014803339076
ansible,WARN,Sample log message 149,2024-12-04 02:00:00,200,447.80149617542565
network,ERROR,Sample log message 150,2024-12-04 02:30:00,500,1735.5459517709564
openshift,CRITICAL,Sample log message 151,2024-12-04 03:00:00,404,1795.2820896136982
openshift,ERROR,Sample log message 152,2024-12-04 03:30:00,500,1575.9106069087106
kubernetes,DEBUG,Sample log message 153,2024-12-04 04:00:00,404,1498.0529694412835
ansible,INFO,Sample log message 154,2024-12-04 04:30:00,400,552.1177965350787
docker,INFO,Sample log message 155,2024-12-04 05:00:00,400,1466.7731598847022
docker,WARN,Sample log message 156,2024-12-04 05:30:00,400,1531.0910863699946
docker,CRITICAL,Sample log message 157,2024-12-04 06:00:00,400,1295.2591651247524
dns,CRITICAL,Sample log message 158,2024-12-04 06:30:00,400,857.7344810882362
docker,INFO,Sample log message 159,2024-12-04 07:00:00,500,280.1483577859116
private cloud,DEBUG,Sample log message 160,2024-12-04 07:30:00,404,1552.2689281751889
network,DEBUG,Sample log message 161,2024-12-04 08:00:00,400,1562.4966322645744
storage,CRITICAL,Sample log message 162,2024-12-04 08:30:00,500,1274.5504025348177
storage,INFO,Sample log message 163,2024-12-04 09:00:00,404,128.56983043917228
vpn,ERROR,Sample log message 164,2024-12-04 09:30:00,400,1974.4797728897086
network,CRITICAL,Sample log message 165,2024-12-04 10:00:00,404,1709.0062791127816
private cloud,ERROR,Sample log message 166,2024-12-04 10:30:00,404,331.0860501910325
ansible,INFO,Sample log message 167,2024-12-04 11:00:00,404,1261.6460108719725
openshift,CRITICAL,Sample log message 168,2024-12-04 11:30:00,404,591.0879787008588
kubernetes,ERROR,Sample log message 169,2024-12-04 12:00:00,400,437.16163271201407
docker,DEBUG,Sample log message 170,2024-12-04 12:30:00,400,949.6357781095592
vpn,ERROR,Sample log message 171,2024-12-04 13:00:00,200,764.0199916583883
openshift,CRITICAL,Sample log message 172,2024-12-04 13:30:00,200,308.83032017599885
storage,ERROR,Sample log message 173,2024-12-04 14:00:00,200,690.2792921035424
network,INFO,Sample log message 174,2024-12-04 14:30:00,200,1593.9185173859091
private cloud,CRITICAL,Sample log message 175,2024-12-04 15:00:00,404,1583.4799345455983
storage,CRITICAL,Sample log message 176,2024-12-04 15:30:00,500,1190.1698156051252
docker,INFO,Sample log message 177,2024-12-04 16:00:00,200,1042.3849408190272
network,INFO,Sample log message 178,2024-12-04 16:30:00,200,686.7662150047296
dns,CRITICAL,Sample log message 179,2024-12-04 17:00:00,400,393.95832554968257
openshift,WARN,Sample log message 180,2024-12-04 17:30:00,400,1333.352606673624
kubernetes,CRITICAL,Sample log message 181,2024-12-04 18:00:00,500,291.44927547112223
ansible,DEBUG,Sample log message 182,2024-12-04 18:30:00,200,1876.469798132291
ansible,CRITICAL,Sample log message 183,2024-12-04 19:00:00,400,1246.5863162492612
docker,ERROR,Sample log message 184,2024-12-04 19:30:00,200,260.34902052354664
kubernetes,CRITICAL,Sample log message 185,2024-12-04 20:00:00,200,887.8319652307046
dns,WARN,Sample log message 186,2024-12-04 20:30:00,404,1772.3754017260117
dns,CRITICAL,Sample log message 187,2024-12-04 21:00:00,500,1928.948935288817
vpn,CRITICAL,Sample log message 188,2024-12-04 21:30:00,200,1055.5766673095939
docker,DEBUG,Sample log message 189,2024-12-04 22:00:00,400,846.7576509056872
openshift,DEBUG,Sample log message 190,2024-12-04 22:30:00,200,1782.1769483627454
openshift,ERROR,Sample log message 191,2024-12-04 23:00:00,200,418.08804500922383
ansible,CRITICAL,Sample log message 192,2024-12-04 23:30:00,400,702.6572447333652
storage,INFO,Sample log message 193,2024-12-05 00:00:00,200,1520.5919089986025
private cloud,CRITICAL,Sample log message 194,2024-12-05 00:30:00,404,641.7607357763455
docker,INFO,Sample log message 195,2024-12-05 01:00:00,200,1742.398866663796
openshift,INFO,Sample log message 196,2024-12-05 01:30:00,200,1902.5212791214558
kubernetes,CRITICAL,Sample log message 197,2024-12-05 02:00:00,500,1388.3783467511719
ansible,CRITICAL,Sample log message 198,2024-12-05 02:30:00,404,258.2916137976945
network,CRITICAL,Sample log message 199,2024-12-05 03:00:00,404,1059.1717788029905
dns,CRITICAL,Sample log message 200,2024-12-05 03:30:00,500,1462.3314584850584
